start_date,end_date,pollster,sample_size,dem,rep,ind,methodology,pollster_rating_id,numeric_grade
2024-08-12,2024-08-14,Emerson,1000.0,47.5,45.5,,IVR/Online Panel/Text-to-Web,88,2.9
2024-08-11,2024-08-13,YouGov,1407.0,45.0,44.0,,Online Panel,391,2.9
2024-08-08,2024-08-12,Monmouth,801.0,48.0,46.0,,Live Phone/Text-to-Web,215,2.9
2024-08-06,2024-08-08,Cygnal,1500.0,46.4,47.1,,,67,2.1
2024-08-04,2024-08-06,YouGov,1413.0,45.0,44.0,,Online Panel,391,2.9
2024-08-01,2024-08-04,Marist,1513.0,47.0,45.0,,Live Phone/Online Panel/Text-to-Web,183,2.9
2024-07-31,2024-08-04,Hart/POS,1001.0,44.0,47.0,,Live Phone,221,2.6
2024-07-24,2024-08-01,Marquette Law School,879.0,52.0,48.0,,Probability Panel,195,3.0
2024-07-24,2024-08-01,Marquette Law School,683.0,52.0,48.0,,Probability Panel,195,3.0
2024-07-29,2024-07-31,RMG Research,3000.0,47.0,47.0,,,555,2.3
2024-07-27,2024-07-30,YouGov,1434.0,46.0,44.0,,Online Panel,391,2.9
2024-07-26,2024-07-29,American Pulse,1035.0,46.6,45.2,,IVR/Live Phone/Online Panel/Text-to-Web,836,
2024-07-23,2024-07-29,McLaughlin,1000.0,44.0,46.0,,Online Panel,203,0.5
2024-07-26,2024-07-28,HarrisX/Harris Poll,1066.0,45.0,42.0,,Online Panel,133,1.6
2024-07-26,2024-07-28,HarrisX/Harris Poll,1130.0,48.0,52.0,,Online Panel,133,1.6
2024-07-26,2024-07-28,Big Data Poll,3097.0,42.7,42.4,,Live Phone/Online Panel/Text-to-Web,251,
2024-07-26,2024-07-28,Big Data Poll,2919.0,43.7,43.7,,Live Phone/Online Panel/Text-to-Web,251,
2024-07-26,2024-07-27,Florida Atlantic University/Mainstreet Research,997.0,46.0,42.0,,IVR/Online Panel,770,
2024-07-26,2024-07-27,Florida Atlantic University/Mainstreet Research,952.0,47.0,42.0,,IVR/Online Panel,770,
